,id,Chinese_name,belonging,type,price
0,835459,P2000 | 豹纹迷彩 (崭新出厂),远古,工业,4.46
1,781642,P2000 | 盘根错节 (崭新出厂),裂空,军规,2.1
2,35967,P2000 | 红色碎片迷彩 (崭新出厂),军火交易 3 号,军规,4.4
3,43929,P2000（StatTrak™） | 电子脉冲 (崭新出厂),猎杀者,军规,5.94
4,35898,P2000 | 渐变琥珀 (崭新出厂),炙热沙城 II ,受限,64.49
5,39201,P2000（StatTrak™） | 至高帝皇 (崭新出厂),左轮武器箱,军规,8.22
6,35973,P2000 | 银质 (崭新出厂),办公室,军规,13.2
7,35954,P2000 | 海洋 (崭新出厂),幻彩 3 号,军规,1.3
8,35919,P2000 | 坚毅大理石纹 (崭新出厂),意大利小镇,工业,1.49
9,35938,P2000 | 至高帝皇 (崭新出厂),左轮武器箱,军规,2.29
10,35947,P2000 | 乳白象牙 (崭新出厂),突围,军规,2.31
11,35934,P2000 | 手炮 (崭新出厂),弯曲猎手,受限,14.98
12,35971,P2000 | 致命红蝎 (崭新出厂),炙热沙城,受限,12.48
13,39210,P2000（StatTrak™） | 乳白象牙 (崭新出厂),突围,军规,7.39
14,35976,P2000 | 草皮 (崭新出厂),手套,军规,2
15,45286,P2000 | 都市危机 (崭新出厂),命悬一线,军规,1.45
16,835456,P2000 | 绝命密电 (崭新出厂),控制,军规,13.1
17,35962,P2000 | 电子脉冲 (崭新出厂),猎杀者,军规,2
18,39231,P2000（StatTrak™） | 草皮 (崭新出厂),手套,军规,8.5
19,39197,P2000（StatTrak™） | 手炮 (崭新出厂),弯曲猎手,受限,45
20,35914,P2000 | 火灵 (崭新出厂),先锋,隐秘,69.6
21,35942,P2000 | 至尊威龙 (崭新出厂),伽玛,保密,29
22,39217,P2000（StatTrak™） | 海洋 (崭新出厂),幻彩 3 号,军规,4.44
23,35951,P2000 | 海之泡沫 (崭新出厂),英勇,保密,464.3
24,779273,P2000 | 酸蚀 (崭新出厂),棱彩2号,受限,11.2
25,45331,P2000（StatTrak™） | 都市危机 (崭新出厂),命悬一线,军规,3.87
26,776180,P2000 | 黑曜石 (崭新出厂),“裂网大行动”,受限,14.4
27,35958,P2000 | 寻路者 (崭新出厂),神魔,工业,27.9
28,35980,P2000 | 林间猎者 (崭新出厂),“九头蛇大行动”,受限,33
29,39205,P2000（StatTrak™） | 至尊威龙 (崭新出厂),伽玛,保密,80
30,37866,P2000（纪念品） | 坚固链甲 (崭新出厂),古堡激战,军规,29
31,35902,P2000 | 坚固链甲 (崭新出厂),古堡激战,军规,189.89
32,35910,P2000 | 珊瑚树 (崭新出厂),电竞 2014 夏季,保密,52
33,779381,P2000（StatTrak™） | 酸蚀 (崭新出厂),棱彩2号,受限,32.9
34,781625,P2000（StatTrak™） | 盘根错节 (崭新出厂),裂空,军规,7.38
35,35924,P2000 | 工业牧草 (崭新出厂),死亡游乐园,工业,20
36,39192,P2000（StatTrak™） | 火灵 (崭新出厂),先锋,隐秘,494.5
